id,d00,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,d22,d23
resume_0000,8.027310,7.419461,-5.614401,10.122796,-1.373253,8.625184,-5.400740,-3.415971,8.727892,-7.046919,-0.136477,-3.283692,5.965671,-8.205722,-7.154813,0.259310,5.524620,-6.703609,2.289260,-2.161934,4.447573,-0.521613,-4.538173,-1.165397
resume_0001,9.081651,7.220030,-4.681264,9.424622,-1.541378,10.022507,-6.560730,-2.429413,8.911609,-7.210321,0.361455,-3.909565,7.945846,-8.390842,-7.930035,1.118466,5.037640,-7.068442,2.889668,-2.482973,4.104288,-1.060910,-4.960519,0.424686
resume_0002,-7.160994,9.107294,-2.033947,6.694761,-1.978027,-1.995576,6.946074,-3.401685,1.034184,8.468572,9.696287,2.446182,8.344670,7.955854,-7.953317,-9.025893,0.726113,3.217812,7.195341,-7.065880,-5.501977,2.687824,3.573824,1.533943
resume_0003,-9.272815,-1.882811,3.718088,-7.978234,-7.967932,1.125748,-0.279831,-0.389596,5.305260,3.237276,0.031647,1.772437,-7.873713,-6.941277,9.146261,-0.556875,2.342459,-5.330717,-1.559671,-4.237762,-5.017318,-9.843199,6.446333,8.253674
resume_0004,-7.319085,-9.786097,7.941686,2.112314,-8.035718,3.204699,-7.061841,-6.478305,0.689539,-3.240450,-4.006000,5.365107,-0.445513,3.971288,2.559136,-6.272103,-0.588174,3.988498,1.972116,0.109288,10.662188,6.867370,0.068839,8.466066
resume_0005,-2.015675,7.509246,-8.452184,-2.225443,-2.958025,-0.934703,8.629988,-2.842055,-8.770301,2.066636,3.144762,-2.025742,6.055786,-0.563980,-2.160204,7.661308,-2.840536,5.616075,1.887580,0.039986,9.588287,8.309321,-9.495602,2.053956
resume_0006,9.781357,6.858715,6.476828,-9.100511,-0.738879,6.563934,1.163758,-5.972519,0.873331,8.689845,9.040637,-8.253708,0.181764,-4.051172,-4.310014,1.713475,-6.412985,8.074946,6.104080,-2.016436,-6.558616,-4.429583,1.643634,6.428162
resume_0007,9.835433,6.678962,7.427650,-8.294342,-1.339708,7.041616,1.937829,-5.802380,0.802187,8.730728,10.342361,-7.818119,-0.475192,-4.202561,-4.805230,1.721843,-5.977203,7.446846,5.397347,-2.802573,-6.155277,-4.803991,1.212754,5.565114
resume_0008,-8.255234,-0.670573,5.061105,-7.245940,-8.292573,1.932751,0.230995,-1.248458,4.987958,2.617164,-0.089842,1.019427,-8.198252,-7.407812,8.040371,-0.153942,2.472450,-5.953481,-2.988259,-4.310805,-5.400921,-9.214343,8.173747,6.686633
resume_0009,4.984500,4.575308,2.724929,8.440461,-4.250522,-5.976227,5.369712,-6.853381,3.701836,1.353564,-2.614161,-1.697146,2.895485,7.018595,-6.642985,-0.104776,-5.972112,-6.658776,-8.883483,-7.091534,-3.581225,3.954415,-7.437656,6.728503
resume_0010,5.888081,-2.880253,5.291459,2.858434,-0.735664,0.939147,-6.541187,6.874251,-9.060619,-4.315928,2.436157,-7.925068,-5.787923,5.500949,0.580683,-8.504437,0.701661,5.021414,-5.486257,6.214166,-9.246624,-0.859702,1.813131,9.278086
resume_0011,9.893433,7.666117,7.157725,-8.716616,0.179796,7.061904,1.442256,-6.314871,1.833134,6.573183,10.544998,-7.811254,0.372862,-2.350451,-4.973132,1.278383,-6.672562,8.837985,5.387698,-3.182865,-6.968900,-3.978795,2.372294,5.001126
resume_0012,5.939804,-4.080346,4.770203,3.920863,-1.028761,2.348742,-6.945495,6.418087,-8.421779,-4.940258,1.065502,-6.548273,-6.574074,5.908417,-0.027314,-6.970287,2.161655,4.748624,-5.485564,7.602018,-9.417642,-2.029850,2.456773,7.575255
resume_0013,8.977288,7.386439,-5.924052,9.526336,-1.931173,8.867571,-5.060724,-5.087815,7.924033,-5.957512,-0.211755,-1.830472,8.102828,-7.730680,-8.287485,0.065588,5.109370,-6.711200,0.997531,-1.758968,5.360871,-1.038486,-5.080078,0.588877
resume_0014,5.649660,-3.694822,4.247575,4.071113,-0.913366,2.547009,-7.191074,5.073762,-8.798001,-5.522938,1.776662,-7.512023,-7.121845,4.997837,0.818031,-8.442324,0.299124,3.856252,-6.546397,6.924820,-10.224850,-0.548564,1.573060,8.606140
resume_0015,6.237062,-3.795815,4.594077,3.517501,-1.910481,2.028046,-8.229633,5.560095,-8.678206,-4.378168,2.115949,-6.658162,-7.843143,5.796328,-0.392201,-8.137849,0.437863,4.840339,-5.930098,6.165000,-10.336692,-1.061269,0.441775,8.400467
resume_0016,10.483422,6.501022,-4.833069,9.833114,-2.741831,8.690153,-5.246901,-4.653788,8.158806,-6.952624,0.320641,-2.858789,7.529016,-8.601225,-7.984868,0.167137,4.530663,-5.244982,2.090602,-2.111605,4.199568,-0.002786,-3.962910,0.252393
resume_0017,6.384112,5.481985,1.238142,7.663358,-4.562723,-5.546811,5.926404,-6.491613,2.748114,1.874869,-2.949713,-2.594085,1.427622,8.898468,-5.923297,0.936279,-5.222792,-8.244476,-8.955661,-7.646800,-5.125147,3.123660,-7.990793,5.763261
resume_0018,5.648012,-3.238056,2.932139,3.083084,-2.037874,1.756180,-7.373441,5.747218,-9.106827,-3.822999,0.987662,-6.920001,-6.326454,3.542579,0.093619,-7.785251,0.468248,5.251400,-6.436899,6.334237,-9.820196,-1.306325,1.389572,8.180972
resume_0019,10.168787,7.910114,-5.707510,9.149886,-1.961460,9.293642,-5.415032,-3.527326,8.953896,-8.169997,0.178312,-3.739145,7.774733,-9.058209,-8.496618,0.125477,4.726861,-7.446276,2.370545,-1.491662,4.912218,-1.609753,-5.271023,0.449895
resume_0020,4.353028,4.018450,1.919107,8.162266,-4.893483,-5.798878,6.754719,-5.761581,3.816027,1.108033,-2.458843,-2.446922,1.048013,7.821503,-7.087851,0.093331,-4.902600,-7.303420,-9.499477,-8.480704,-3.217700,4.647982,-7.843045,7.901329
resume_0021,11.222983,6.897433,-5.186404,9.492211,-2.626807,9.749743,-5.085372,-3.533327,8.377971,-6.561975,0.356863,-3.556109,7.019484,-9.089121,-7.671537,1.082314,5.080689,-6.780788,2.616251,-2.973504,5.520664,-0.696377,-4.223452,-1.321495
resume_0022,-2.899778,7.454864,-8.061536,-1.143948,-2.063142,-1.473565,8.882589,-1.680353,-7.901895,2.716540,2.202865,-2.278083,5.543850,-0.154377,-3.431896,7.925735,-1.726276,5.326847,2.542460,0.226756,9.159016,8.587016,-9.953566,1.930295
resume_0023,-2.415530,7.799165,-7.105467,-0.583195,-3.316474,-0.991276,8.271730,-2.186415,-7.597873,1.878217,1.892207,-1.915679,6.731577,-0.172777,-2.055893,8.477124,-1.484147,4.534011,2.110470,-0.587815,8.145374,8.462661,-9.334090,2.032643
resume_0024,9.890030,6.959881,-5.782730,9.303156,-2.061316,9.837938,-5.065267,-4.412358,9.666782,-7.843364,0.261406,-2.577326,6.596109,-8.283217,-8.574399,-0.820577,4.396023,-7.528656,1.689458,-1.129787,3.957510,-1.911218,-5.529514,0.020933
resume_0025,5.804848,-3.530096,4.645116,2.685948,-2.080406,2.254395,-6.800322,6.079115,-8.859143,-5.264495,2.581291,-6.143784,-6.154258,5.138917,-0.129671,-8.336683,0.380792,5.077816,-5.936667,6.722266,-9.238050,-0.900573,0.661393,7.595346
resume_0026,9.892084,6.747270,-4.546825,9.987289,-2.943656,9.159577,-4.102971,-3.341921,8.653799,-7.374475,0.989175,-3.402541,7.919748,-8.624537,-7.476427,0.566729,5.552938,-7.336606,1.904113,-1.737564,5.213313,-0.788777,-4.656782,0.387671
resume_0027,10.425843,6.328793,-5.604254,10.368816,-2.624650,8.650469,-5.985547,-3.137761,8.845841,-7.560061,0.634230,-3.049683,7.955351,-8.755738,-8.091135,-0.572787,4.934737,-8.150471,1.598284,-2.958888,4.880072,-1.904050,-4.112828,0.356795
