id,d00,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,d22,d23
vacancy_0000,9.886533,7.060400,-4.798998,8.884786,-0.865260,8.862792,-4.730777,-4.434520,8.276620,-7.242703,-0.047056,-4.001280,7.043909,-8.639113,-8.576413,0.344118,5.870384,-7.682692,2.063912,-2.459596,4.460606,-0.784287,-4.731584,-0.347810
vacancy_0001,4.987867,-3.856295,5.491073,2.807165,-1.876435,1.771687,-6.930206,5.980591,-9.274341,-4.503125,2.962615,-7.116772,-6.887718,5.072749,-0.452617,-8.303329,1.442961,4.629196,-6.834455,6.448798,-10.023729,-0.433242,0.025323,8.715237
vacancy_0002,-8.017149,-1.004642,4.011047,-8.145159,-8.321789,2.711028,0.668000,0.128373,6.011826,3.617866,1.479119,0.842337,-7.112688,-7.115713,8.355365,-0.043243,1.962533,-4.933670,-2.506936,-4.742489,-3.847479,-9.273839,7.379263,7.710249
vacancy_0003,-2.959517,6.902304,-6.688133,-0.454474,-2.781697,-1.531935,8.160507,-1.784166,-8.285412,1.395628,2.392772,-2.842244,7.059795,-0.863888,-2.029641,7.718567,-1.147987,4.652303,3.237810,0.395905,10.003581,9.857888,-10.049744,1.689832
vacancy_0004,-7.171734,8.818619,-1.750384,5.841305,-2.306015,-3.510867,6.292023,-4.410721,2.245662,7.976326,8.920282,2.187216,7.782748,6.292034,-7.049330,-8.577691,-0.374473,2.797503,6.880498,-9.071617,-5.794693,3.844517,3.641235,-0.058492
vacancy_0005,-6.313293,-8.073418,7.676852,2.801881,-8.513373,3.882819,-7.585478,-6.443934,1.662398,-3.325513,-3.264538,4.178772,-0.595541,4.995744,3.027310,-6.182912,-1.198897,3.550076,1.563403,-1.244328,9.598602,7.353959,0.809756,8.693182
vacancy_0006,8.397144,6.785891,7.948271,-8.322406,-1.066833,7.290577,1.981035,-6.659840,1.688608,7.923462,10.190214,-7.869704,0.307140,-3.812658,-5.124262,1.434403,-6.291911,9.022759,5.126205,-3.108739,-7.428489,-5.663532,1.105509,5.448469
vacancy_0007,4.919025,4.984309,0.405912,8.569751,-4.069350,-6.262041,6.709529,-6.219620,3.536293,1.568317,-2.514522,-1.455393,1.223534,7.875501,-6.660934,0.642035,-5.947789,-7.429595,-9.955543,-7.454468,-3.439784,5.304685,-7.762748,6.561269
vacancy_0008,5.099290,4.858166,1.390314,7.938570,-5.993434,-5.199350,6.109473,-5.527158,3.620732,0.702328,-1.961227,-2.517933,1.642459,8.723737,-6.408039,0.124812,-4.585185,-9.258336,-8.745247,-7.326020,-3.000213,5.120530,-8.045405,6.130584
vacancy_0009,9.396939,6.915477,-5.381312,9.726223,-2.507586,8.657962,-5.654162,-5.666675,10.636136,-7.171439,0.046260,-1.772429,7.068267,-7.711785,-8.650869,-0.676920,4.832441,-7.409550,2.956622,-1.922681,4.479231,-1.384736,-4.269317,1.462790
