timestamp;process;event_type;details
2026-03-01T08:00:01;bash;exec;cmd=/usr/bin/ls pid=32572
2026-03-01T08:00:02;postgres;net_conn;dst=192.168.251.44:32787 proto=tcp
2026-03-01T08:00:03;nginx;logout;user=user_0440 ip=10.0.188.225
2026-03-01T08:00:05;python3;exec;cmd=/usr/bin/rsync pid=17584
2026-03-01T08:00:06;cron;exec;cmd=/usr/bin/rsync pid=64151
2026-03-01T08:00:07;systemd;logout;user=user_0084 ip=10.0.182.63
2026-03-01T08:00:10;postgres;login;user=user_0437 ip=10.0.206.211
2026-03-01T08:00:11;systemd;exec;cmd=/usr/bin/rsync pid=52546
2026-03-01T08:00:14;backup-agent;login;user=user_7000 ip=10.0.12.51
2026-03-01T08:00:17;postgres;exec;cmd=/usr/bin/python3 pid=32700
2026-03-01T08:00:18;cron;file_read;path=/opt/app/config.yml pid=28150
2026-03-01T08:00:20;postgres;exec;cmd=/usr/bin/python3 pid=3949
2026-03-01T08:00:23;backup-agent;net_conn;dst=192.168.187.124:44573 proto=tcp
2026-03-01T08:00:24;postgres;exec;cmd=/usr/bin/ps pid=12494
2026-03-01T08:00:26;bash;net_conn;dst=192.168.177.142:45738 proto=tcp
2026-03-01T08:00:27;systemd;logout;user=user_6404 ip=10.0.75.46
2026-03-01T08:00:28;postgres;net_conn;dst=192.168.249.148:43255 proto=tcp
2026-03-01T08:00:31;bash;file_write;path=/etc/hosts pid=26532
2026-03-01T08:00:34;nginx;exec;cmd=/usr/bin/ps pid=8516
2026-03-01T08:00:37;systemd;login;user=user_4175 ip=10.0.182.31
2026-03-01T08:00:40;bash;file_write;path=/var/log/auth.log pid=19841
2026-03-01T08:00:41;nginx;exec;cmd=/usr/sbin/logrotate pid=62443
2026-03-01T08:00:43;python3;net_conn;dst=192.168.116.200:3670 proto=tcp
2026-03-01T08:00:44;backup-agent;file_write;path=/var/log/auth.log pid=1623
2026-03-01T08:00:45;cron;exec;cmd=/usr/bin/python3 pid=59741
2026-03-01T08:00:46;backup-agent;file_read;path=/home/user/report.txt pid=58438
2026-03-01T08:00:47;nginx;login;user=user_0441 ip=10.0.218.14
2026-03-01T08:00:49;systemd;logout;user=user_1925 ip=10.0.254.182
2026-03-01T08:00:50;systemd;file_read;path=/var/log/syslog pid=53175
2026-03-01T08:00:52;python3;file_read;path=/var/log/auth.log pid=57465
2026-03-01T08:00:53;systemd;file_write;path=/var/log/auth.log pid=23122
2026-03-01T08:00:55;backup-agent;file_write;path=/var/log/syslog pid=53958
2026-03-01T08:00:56;backup-agent;net_conn;dst=192.168.206.59:7220 proto=tcp
2026-03-01T08:00:58;systemd;logout;user=user_4424 ip=10.0.181.9
2026-03-01T08:01:00;backup-agent;file_read;path=/home/user/report.txt pid=3589
2026-03-01T08:01:02;sshd;file_write;path=/tmp/cache.db pid=11736
2026-03-01T08:01:03;python3;exec;cmd=/usr/bin/top pid=37355
2026-03-01T08:01:06;systemd;login;user=user_8984 ip=10.0.108.254
2026-03-01T08:01:08;backup-agent;net_conn;dst=192.168.166.98:1667 proto=tcp
2026-03-01T08:01:09;systemd;exec;cmd=/usr/sbin/logrotate pid=26577
2026-03-01T08:01:12;python3;logout;user=user_0827 ip=10.0.9.19
2026-03-01T08:01:14;python3;file_read;path=/home/user/report.txt pid=64060
2026-03-01T08:01:17;systemd;exec;cmd=/usr/sbin/logrotate pid=23635
2026-03-01T08:01:20;bash;net_conn;dst=192.168.189.106:30933 proto=udp
2026-03-01T08:01:21;postgres;file_write;path=/home/user/report.txt pid=42817
2026-03-01T08:01:23;systemd;logout;user=user_1169 ip=10.0.162.242
2026-03-01T08:01:25;cron;file_read;path=/var/log/auth.log pid=35165
2026-03-01T08:01:27;backup-agent;logout;user=user_4622 ip=10.0.147.237
2026-03-01T08:01:28;python3;login;user=user_0644 ip=10.0.33.108
2026-03-01T08:01:30;python3;login;user=user_2848 ip=10.0.66.42
2026-03-01T08:01:31;cron;login;user=user_1291 ip=10.0.2.206
2026-03-01T08:01:32;postgres;exec;cmd=/usr/bin/rsync pid=13676
2026-03-01T08:01:33;bash;logout;user=user_4310 ip=10.0.218.196
2026-03-01T08:01:35;cron;net_conn;dst=192.168.199.43:38641 proto=tcp
2026-03-01T08:01:37;systemd;exec;cmd=/usr/bin/ps pid=19198
2026-03-01T08:01:40;bash;logout;user=user_0637 ip=10.0.48.30
2026-03-01T08:01:41;cron;net_conn;dst=192.168.123.178:62472 proto=udp
2026-03-01T08:01:42;postgres;exec;cmd=/usr/bin/python3 pid=56941
2026-03-01T08:01:45;python3;exec;cmd=/usr/bin/python3 pid=58072
2026-03-01T08:01:46;nginx;logout;user=user_2566 ip=10.0.148.122
2026-03-01T08:01:49;postgres;exec;cmd=/usr/bin/ps pid=44805
2026-03-01T08:01:50;bash;net_conn;dst=192.168.57.195:17736 proto=tcp
2026-03-01T08:01:53;python3;file_read;path=/tmp/cache.db pid=18805
